,daima,fee,jingzhi,names,rateD,rateW,urls
57,167702,0.12%,1.2015,德邦量化优选股票(LOF)A,-0.65%,-0.69%,http://fund.eastmoney.com/167702.html
58,000577,0.15%,2.9260,安信价值精选股票,-0.88%,-0.20%,http://fund.eastmoney.com/000577.html
59,001458,0.12%,1.3706,广发中证全指主要消费联接A,-1.17%,1.22%,http://fund.eastmoney.com/001458.html
60,002976,0.00%,1.3691,广发中证全指主要消费联接C,-1.16%,1.22%,http://fund.eastmoney.com/002976.html
61,410008,0.12%,1.2994,华富中证100指数,-0.64%,-0.73%,http://fund.eastmoney.com/410008.html
62,164508,0.12%,0.9940,国富中证100指数增强分级,-0.80%,-1.00%,http://fund.eastmoney.com/164508.html
63,100038,0.12%,1.8340,富国量化沪深300,-0.54%,-0.54%,http://fund.eastmoney.com/100038.html
64,530015,0.15%,1.8926,建信深证60联接,-0.59%,-0.78%,http://fund.eastmoney.com/530015.html
65,320010,0.12%,1.2980,诺安中证100,-0.69%,-0.84%,http://fund.eastmoney.com/320010.html
66,540012,0.12%,1.5333,汇丰晋信恒生龙头指数A,-0.74%,-0.64%,http://fund.eastmoney.com/540012.html
67,003986,0.12%,1.2046,申万菱信中证500指数优选增强,-0.32%,-0.57%,http://fund.eastmoney.com/003986.html
68,000711,0.15%,1.6930,嘉实医疗保健股票,-1.51%,-1.23%,http://fund.eastmoney.com/000711.html
69,167703,0.00%,1.1909,德邦量化优选股票(LOF)C,-0.65%,-0.70%,http://fund.eastmoney.com/167703.html
70,519714,0.15%,1.0970,交银消费新驱动股票,-0.72%,-0.45%,http://fund.eastmoney.com/519714.html
71,240019,0.15%,1.7160,华宝上证180成长联接,-0.69%,0.12%,http://fund.eastmoney.com/240019.html
72,001714,0.15%,1.5100,工银文体产业股票,-1.63%,-0.53%,http://fund.eastmoney.com/001714.html
73,213010,0.12%,1.3920,宝盈中证100增强,-0.64%,-0.78%,http://fund.eastmoney.com/213010.html
74,160635,0.12%,1.2310,鹏华中证医药卫生(LOF),-1.36%,0.00%,http://fund.eastmoney.com/160635.html
75,000688,0.15%,1.5340,景顺长城研究精选股票,-0.45%,-0.97%,http://fund.eastmoney.com/000688.html
76,001236,0.15%,0.9360,博时丝路主题股票A,-0.43%,-0.85%,http://fund.eastmoney.com/001236.html
77,519671,0.12%,1.5440,银河沪深300价值,-0.52%,-0.77%,http://fund.eastmoney.com/519671.html
78,003299,0.00%,1.2090,嘉实物流产业股票C,-1.06%,-0.25%,http://fund.eastmoney.com/003299.html
79,001072,0.15%,1.1230,华安智能装备主题股票,-0.35%,-0.97%,http://fund.eastmoney.com/001072.html
80,003298,0.15%,1.2120,嘉实物流产业股票A,-1.06%,-0.25%,http://fund.eastmoney.com/003298.html
81,001645,0.15%,1.7580,国泰大健康股票,-1.84%,-2.44%,http://fund.eastmoney.com/001645.html
82,000913,0.15%,1.2112,农银医疗保健股票,-1.58%,-0.33%,http://fund.eastmoney.com/000913.html
83,002595,0.15%,1.1990,博时工业4.0主题股票,-1.15%,-0.75%,http://fund.eastmoney.com/002595.html
84,370023,0.12%,1.5920,上投中证消费指数,-1.06%,-0.13%,http://fund.eastmoney.com/370023.html
85,001878,0.15%,1.6890,嘉实沪港深精选股票,-0.82%,0.24%,http://fund.eastmoney.com/001878.html
86,450009,0.15%,1.8880,国富中小盘,-0.47%,0.32%,http://fund.eastmoney.com/450009.html
87,310398,0.12%,1.5766,申万菱信沪深300价值指数,-0.54%,-0.78%,http://fund.eastmoney.com/310398.html
