,box_offices,country,names,time,types,urls
66,15093,中国/中国台湾,大笑江湖,2010-12-03,喜剧,http://www.cbooo.cn/m/588499
67,14496,中国,山楂树之恋,2010-09-15,爱情,http://www.cbooo.cn/m/573967
68,14030,中国/中国香港,锦衣卫,2010-02-03,动作,http://www.cbooo.cn/m/572852
69,13821,中国/中国香港,精武风云·陈真,2010-09-21,动作,http://www.cbooo.cn/m/573959
70,13548,美国/德国/法国/英国,生化危机4：战神再生,2010-11-16,动作/科幻,http://www.cbooo.cn/m/417248
71,13059,中国香港/中国,越光宝盒,2010-03-18,喜剧,http://www.cbooo.cn/m/573086
72,12942,中国/中国香港,全城热恋,2010-02-11,爱情,http://www.cbooo.cn/m/573873
73,12658,中国香港/中国,枪王之王,2010-07-02,动作,http://www.cbooo.cn/m/573888
74,12441,中国,杜拉拉升职记,2010-04-15,爱情,http://www.cbooo.cn/m/572815
75,107150,美国,变形金刚3,2011-07-21,科幻,http://www.cbooo.cn/m/589793
76,61198,美国,功夫熊猫2,2011-05-28,动画,http://www.cbooo.cn/m/350725
77,46439,美国,加勒比海盗4：惊涛怪浪,2011-05-20,魔幻/动作,http://www.cbooo.cn/m/370427
78,45013,中国,金陵十三钗,2011-12-15,战争,http://www.cbooo.cn/m/573968
79,40719,中国/中国香港,建党伟业,2011-06-15,战争,http://www.cbooo.cn/m/588446
80,40245,英国/美国,哈利·波特与死亡圣器(下),2011-08-04,魔幻/动作,http://www.cbooo.cn/m/339971
81,39664,中国/中国香港,龙门飞甲,2011-12-15,动作,http://www.cbooo.cn/m/588865
82,32051,中国,失恋33天,2011-11-08,爱情,http://www.cbooo.cn/m/592414
83,25221,美国,蓝精灵,2011-08-10,动画,http://www.cbooo.cn/m/591934
84,25215,美国,速度与激情5,2011-05-12,动作/剧情,http://www.cbooo.cn/m/589909
85,22600,美国,洛杉矶之战,2011-03-18,科幻/战争,http://www.cbooo.cn/m/306340
86,21253,中国/中国香港,新少林寺,2011-01-19,动作,http://www.cbooo.cn/m/573920
87,20887,中国/中国香港,窃听风云2,2011-08-18,动作,http://www.cbooo.cn/m/590196
88,19600,中国,武林外传,2011-01-26,喜剧,http://www.cbooo.cn/m/588420
89,19363,中国,将爱情进行到底,2011-02-12,爱情,http://www.cbooo.cn/m/588593
90,18648,中国,武林外传,,古装/喜剧,http://www.cbooo.cn/m/567900
91,18313,美国,猩球崛起,2011-10-28,科幻/动作,http://www.cbooo.cn/m/592671
92,17017,中国/中国香港,武侠,2011-07-04,动作,http://www.cbooo.cn/m/589482
93,16878,中国,白蛇传说,2011-09-28,爱情,http://www.cbooo.cn/m/587844
94,16493,中国香港/中国,最强囍事,2011-01-31,喜剧,http://www.cbooo.cn/m/589812
95,16310,中国/中国香港,让子弹飞,2010-12-16,喜剧,http://www.cbooo.cn/m/573439
96,15739,中国/中国香港,关云长,2011-04-26,动作,http://www.cbooo.cn/m/587699
97,14934,中国/中国香港,画壁,2011-09-29,奇幻,http://www.cbooo.cn/m/589472
98,14093,中国/中国香港,倩女幽魂,2011-04-19,爱情,http://www.cbooo.cn/m/588488
99,13960,中国,鸿门宴,2011-11-29,动作,http://www.cbooo.cn/m/589662
100,100303,中国,人再囧途之泰囧,2012-12-12,喜剧,http://www.cbooo.cn/m/610009
101,94620,美国,泰坦尼克号3D,2012-04-10,爱情,http://www.cbooo.cn/m/596420
102,70210,中国/中国香港,画皮2,2012-06-28,爱情,http://www.cbooo.cn/m/589501
103,67219,美国,碟中谍4,2012-01-28,动作,http://www.cbooo.cn/m/359941
104,57289,美国,少年派的奇幻漂流,2012-11-22,剧情,http://www.cbooo.cn/m/353063
105,56649,美国,复仇者联盟,2012-05-05,科幻,http://www.cbooo.cn/m/609952
106,53527,中国/中国香港,十二生肖,2012-12-20,动作,http://www.cbooo.cn/m/573367
107,50343,美国,黑衣人3,2012-05-25,科幻,http://www.cbooo.cn/m/593764
108,44743,美国,冰川时代4：大陆漂移,2012-07-27,动画,http://www.cbooo.cn/m/604230
109,38652,美国,地心历险记2：神秘岛,2012-02-10,科幻,http://www.cbooo.cn/m/590370
110,36994,中国/中国香港,一九四二,2012-11-29,战争,http://www.cbooo.cn/m/593912
111,33878,美国/英国,蝙蝠侠：黑暗骑士崛起,2012-08-27,动作,http://www.cbooo.cn/m/566673
112,33158,美国/中国,敢死队2,2012-09-04,动作/惊悚,http://www.cbooo.cn/m/605129
113,31052,美国,超凡蜘蛛侠,2012-08-27,科幻,http://www.cbooo.cn/m/385555
114,31011,美国,超级战舰,2012-04-18,动作/科幻,http://www.cbooo.cn/m/602933
115,26009,美国,异星战场,2012-03-16,科幻/动作,http://www.cbooo.cn/m/348314
116,25304,中国香港,寒战,2012-11-08,动作,http://www.cbooo.cn/m/596138
117,23217,中国/中国香港,听风者,2012-08-07,剧情,http://www.cbooo.cn/m/593828
118,22321,美国,普罗米修斯,2012-09-02,科幻,http://www.cbooo.cn/m/602960
119,21315,美国,谍影重重4,2012-10-25,动作,http://www.cbooo.cn/m/396492
120,20916,美国,马达加斯加3,2012-06-08,动画,http://www.cbooo.cn/m/566546
121,19182,中国/中国香港,四大名捕,2012-07-12,动作,http://www.cbooo.cn/m/573396
122,18806,美国,大侦探福尔摩斯2,2012-01-15,惊悚/动作,http://www.cbooo.cn/m/590198
123,17434,美国,饥饿游戏,2012-06-14,动作/科幻,http://www.cbooo.cn/m/602842
124,17363,中国/中国香港,大魔术师,2012-01-12,爱情,http://www.cbooo.cn/m/589861
125,124699,中国/中国香港,西游降魔篇,2013-02-10,奇幻,http://www.cbooo.cn/m/589797
126,75486,美国/中国,钢铁侠3,2013-05-01,科幻,http://www.cbooo.cn/m/346818
127,71910,中国,致我们终将逝去的青春,2013-04-26,爱情,http://www.cbooo.cn/m/596973
128,69465,美国,环太平洋,2013-07-31,科幻,http://www.cbooo.cn/m/616436
129,60078,中国,狄仁杰之神都龙王,2013-09-28,动作,http://www.cbooo.cn/m/591779
130,58872,中国/中国香港,私人订制,2013-12-19,喜剧,http://www.cbooo.cn/m/610928
131,53879,中国/中国香港,中国合伙人,2013-05-17,爱情,http://www.cbooo.cn/m/610867
132,51975,中国/中国香港,北京遇上西雅图,2013-03-21,爱情,http://www.cbooo.cn/m/596800
133,48436,中国,小时代,2013-06-27,爱情,http://www.cbooo.cn/m/614305
134,43553,美国,地心引力,2013-11-19,科幻,http://www.cbooo.cn/m/602981
135,41330,美国,速度与激情6,2013-07-26,动作,http://www.cbooo.cn/m/615668
136,39472,美国,疯狂原始人,2013-04-20,动画,http://www.cbooo.cn/m/615499
137,39448,美国,超人：钢铁之躯,2013-06-20,动作,http://www.cbooo.cn/m/388774
138,37613,英国/美国,007：大破天幕杀机,2013-01-21,动作,http://www.cbooo.cn/m/610088
139,35294,美国,星际迷航：暗黑无界,2013-05-28,科幻,http://www.cbooo.cn/m/589309
140,34886,美国,侏罗纪公园,2013-08-20,科幻,http://www.cbooo.cn/m/348955
141,34588,中国/中国香港,十二生肖,2012-12-20,动作,http://www.cbooo.cn/m/573367
142,34537,中国/中国香港,警察故事2013,2013-12-24,动作,http://www.cbooo.cn/m/613384
143,34240,美国,雷神2：黑暗世界,2013-11-08,动作,http://www.cbooo.cn/m/618535
144,33806,美国,特种部队2：全面反击,2013-04-15,动作,http://www.cbooo.cn/m/594281
145,31579,美国,霍比特人1：意外旅程,2013-02-22,魔幻,http://www.cbooo.cn/m/341723
146,30828,中国/中国香港,风暴,2013-12-12,动作,http://www.cbooo.cn/m/614346
147,30032,中国/中国香港,天机·富春山居图,2013-06-09,动作,http://www.cbooo.cn/m/593283
148,29590,中国/中国台湾,小时代2：青木时代,2013-08-08,爱情,http://www.cbooo.cn/m/616735
149,28784,中国/中国香港,一代宗师,2013-01-08,动作,http://www.cbooo.cn/m/573880
150,197751,美国/中国,变形金刚4：绝迹重生,2014-06-27,科幻,http://www.cbooo.cn/m/612232
151,116934,中国,心花路放,2014-09-30,喜剧,http://www.cbooo.cn/m/618111
152,104549,中国/中国香港,西游记之大闹天宫,2014-01-31,魔幻,http://www.cbooo.cn/m/589349
153,75532,美国/英国,星际穿越,2014-11-12,科幻,http://www.cbooo.cn/m/346481
154,72296,美国,X战警：逆转未来,2014-05-23,科幻,http://www.cbooo.cn/m/620389
155,71853,美国,美国队长2：冬日战士,2014-04-04,动作,http://www.cbooo.cn/m/622647
156,70922,美国,猩球崛起2：黎明之战,2014-08-29,科幻,http://www.cbooo.cn/m/624046
