,0,1,2,3,4,5,6
85,7.龙门飞甲,动作,39664,44,41,中国/中国香港,2011-12-15
86,8.失恋33天,爱情,32051,32,37,中国,2011-11-08
87,9.蓝精灵,动画,25221,38,38,美国,2011-08-10
88,10.速度与激情5,动作/剧情,25215,32,38,美国,2011-05-12
89,11.洛杉矶之战,科幻/战争,22600,32,32,美国,2011-03-18
90,12.新少林寺,动作,21253,36,34,中国/中国香港,2011-01-19
91,13.窃听风云2,动作,20887,34,30,中国/中国香港,2011-08-18
92,14.武林外传,喜剧,19600,36,36,中国,2011-01-26
93,15.将爱情进行到底,爱情,19363,35,27,中国,2011-02-12
94,16.武林外传,古装/喜剧,18648,36,33,中国,
95,17.猩球崛起,科幻/动作,18313,31,31,美国,2011-10-28
96,18.武侠,动作,17017,34,29,中国/中国香港,2011-07-04
97,19.白蛇传说,爱情,16878,33,25,中国,2011-09-28
98,20.最强囍事,喜剧,16493,34,35,中国香港/中国,2011-01-31
99,21.让子弹飞,喜剧,16310,38,28,中国/中国香港,2010-12-16
100,22.关云长,动作,15739,34,26,中国/中国香港,2011-04-26
101,23.画壁,奇幻,14934,33,26,中国/中国香港,2011-09-29
102,24.倩女幽魂,爱情,14093,34,22,中国/中国香港,2011-04-19
103,25.鸿门宴,动作,13960,33,24,中国,2011-11-29
104,排名：影片名,类型,总票房（万）,平均票价,场均人次,国家及地区,上映日期
105,1.人再囧途之泰囧,喜剧,100303,32,57,中国,2012-12-12
106,2.泰坦尼克号3D,爱情,94620,45,54,美国,2012-04-10
107,3.画皮2,爱情,70210,41,37,中国/中国香港,2012-06-28
108,4.碟中谍4,动作,67219,35,43,美国,2012-01-28
109,5.少年派的奇幻漂流,剧情,57289,39,38,美国,2012-11-22
110,6.复仇者联盟,科幻,56649,42,33,美国,2012-05-05
111,7.十二生肖,动作,53527,41,50,中国/中国香港,2012-12-20
112,8.黑衣人3,科幻,50343,41,29,美国,2012-05-25
113,9.冰川时代4：大陆漂移,动画,44743,38,28,美国,2012-07-27
114,10.地心历险记2：神秘岛,科幻,38652,42,31,美国,2012-02-10
115,11.一九四二,战争,36994,37,31,中国/中国香港,2012-11-29
116,12.蝙蝠侠：黑暗骑士崛起,动作,33878,37,29,美国/英国,2012-08-27
117,13.敢死队2,动作/惊悚,33158,33,26,美国/中国,2012-09-04
118,14.超凡蜘蛛侠,科幻,31052,41,26,美国,2012-08-27
119,15.超级战舰,动作/科幻,31011,34,31,美国,2012-04-18
120,16.异星战场,科幻/动作,26009,40,25,美国,2012-03-16
121,17.寒战,动作,25304,32,21,中国香港,2012-11-08
122,18.听风者,剧情,23217,35,26,中国/中国香港,2012-08-07
123,19.普罗米修斯,科幻,22321,40,23,美国,2012-09-02
124,20.谍影重重4,动作,21315,33,22,美国,2012-10-25
125,21.马达加斯加3,动画,20916,39,24,美国,2012-06-08
126,22.四大名捕,动作,19182,33,23,中国/中国香港,2012-07-12
127,23.大侦探福尔摩斯2,惊悚/动作,18806,33,37,美国,2012-01-15
128,24.饥饿游戏,动作/科幻,17434,34,26,美国,2012-06-14
129,25.大魔术师,爱情,17363,34,33,中国/中国香港,2012-01-12
130,排名：影片名,类型,总票房（万）,平均票价,场均人次,国家及地区,上映日期
131,1.西游降魔篇,奇幻,124699,40,41,中国/中国香港,2013-02-10
132,2.钢铁侠3,科幻,75486,42,33,美国/中国,2013-05-01
133,3.致我们终将逝去的青春,爱情,71910,32,36,中国,2013-04-26
